,Fecha,Estado,Enunciado
0,31-03-24,no resuelto,correos de chile - paquete extraviado y sin solución
1,28-03-24,no resuelto,correos de chile - pedido extraviado
2,27-03-24,resuelto,correos de chile - 2 meses sin recibir pedidos.
3,26-03-24,None,correos de chile - no he recibido mi compra
4,26-03-24,None,correos de chile - no completa entrega
5,26-03-24,no resuelto,correos de chile - robo en el pedido
6,25-03-24,None,correos de chile - porque no llego el pedido
7,24-03-24,no resuelto,correos de chile - paquete muchos días en aduana
8,23-03-24,None,correos de chile - paquete no fue recibido
9,23-03-24,no resuelto,correos de chile - envío desde junio de 2023
10,21-03-24,None,correos de chile - en internación infinita
11,20-03-24,resuelto,correos de chile - falta de número de seguimiento usps
12,20-03-24,no resuelto,correos de chile - extravío de paqueño paquete internacional
13,19-03-24,no resuelto,correos de chile - paquete retenido en linehaul office
14,18-03-24,None,correos de chile - robo de la compra
15,18-03-24,None,correos de chile - segun mi paquete llego a destino y en oficina no lo entregan por que aun no hace el ingreso .
16,18-03-24,resuelto,correoschile - paquete lleva 1 mes en internación
17,18-03-24,no resuelto,correos de chile - demora en envio
18,15-03-24,None,correos de chile - envío internacional atascado
19,15-03-24,resuelto,correos de chile - cartero no entrega productos
20,15-03-24,no resuelto,correos de chile - demora en internación
21,14-03-24,resuelto,correos de chile - paquete retenido en internación
22,13-03-24,no resuelto,correos de chile - doble cobro en envíos
23,12-03-24,no resuelto,correos de chile - segunda parte: lentitud en la entrega de productos importados
24,11-03-24,no resuelto,correos de chile - lentitud en la entrega de productos importados
25,09-03-24,no resuelto,correos de chile - envío extraviado
26,05-03-24,no resuelto,correos de chile - sin plazo para internación
27,05-03-24,no resuelto,correos de chile - linehual office
28,03-03-24,resuelto,correos de chile - solicitud urgente de resolución: retraso prolongado en la entrega de paquete internacional
29,01-03-24,no resuelto,correos de chile - por negligencia de envío internacional
30,28-02-24,resuelto,correos de chile - paquete no ha llegado adestino
31,27-02-24,None,correos de chile - no contestan por más q me intente contactar.
32,26-02-24,None,correos de chile - proceso de internación demora mucho
33,26-02-24,no resuelto,correos de chile - 2 meses que tienen mi paquete en planta
34,26-02-24,None,"correos de chile - correos de chile, internación eterna"
35,23-02-24,None,correos de chile - paquete entregado en otra direccion
36,23-02-24,None,correos de chile - paquete en internación
37,21-02-24,no resuelto,correos de chile - paquete internacional no entregado
38,21-02-24,no resuelto,correos de chile - pedido no enviado
39,20-02-24,resuelto,correos de chile - no entregan las encomiendas y mienten
40,19-02-24,no resuelto,correos chile - encomienda extraviada
41,19-02-24,no resuelto,correo de chile - paquete desde 30 de enero en internacion
42,19-02-24,resuelto,correos de chile - paquete internacional perdido. número de rastreo eliminado.
43,19-02-24,no resuelto,correos de chile - envío en aduana
44,15-02-24,resuelto,correos de chile - encomienda entregada en otro domicilio
45,15-02-24,no resuelto,correos chile - pesimo servicio y devolucion y perddia de tablet comprado en extranjero
46,15-02-24,None,"correos de chile - pedido estancado en ""arrived at linehaul office"""
47,14-02-24,no resuelto,correos de chile - demora en la entrega
48,13-02-24,no resuelto,correos de chile - retenido a la espera de aduanas
49,13-02-24,None,correos de chile - paquete no recibido y dice recibido por otra persona
50,12-02-24,no resuelto,correos de chile - paquete estancado en bodega internación
51,12-02-24,no resuelto,"correos de chile - producto retenido santiago ocpi cp, chile"
52,12-02-24,resuelto,"correos de chile - pedido estancado ""arrived at linehaul office"""
53,12-02-24,None,correos de chile - pedido de temu no entregado
54,11-02-24,None,correos de chile - envío equivocado
55,10-02-24,None,correos de chile - retraso en envío
56,09-02-24,None,correos de chile - mejorar la atencion
57,08-02-24,resuelto,correos de chile - internacion
58,07-02-24,no resuelto,correos de chile - demora en proceso de internación.
59,07-02-24,no resuelto,correos de chile - envio
60,07-02-24,no resuelto,correos de chile - atraso en entrega de paquete que son remedios
61,07-02-24,None,correos de chile - paquete no llega
62,06-02-24,no resuelto,correos de chile - paquete en internación
63,03-02-24,resuelto,correos de chile - por no entrega de paquete
64,02-02-24,None,correos de chile - demora en entrega
65,02-02-24,None,correos de chile - retraso y desinformación
66,01-02-24,resuelto,correos de chile - sin novedad de paquete
67,31-01-24,resuelto,correos de chile - demora excesiva de entrega paquete internacional
68,31-01-24,None,correos de chile - paquete en aduana
69,31-01-24,resuelto,correos de chile - no entrega de envío internacional
70,30-01-24,no resuelto,correos de chile - caja en internación
71,29-01-24,resuelto,correos de chile - demora de entrega paquete
72,29-01-24,None,correos de chile - retraso entrega
73,28-01-24,resuelto,correos de chile - 2 meses sin movimiento
74,28-01-24,None,correos de chile - tardanza en la entrega de un producto
75,27-01-24,None,correos de chile - proceso de internación demora mucho
76,26-01-24,no resuelto,correos de chile - demora en entrega
77,25-01-24,resuelto,correos de chile - envío retenido
78,24-01-24,no resuelto,correos de chile - entregaron mi paquete a otra persona
79,24-01-24,None,correos de chile - pedido ingresado en direccion erronea
80,23-01-24,resuelto,correos de chile - no llegó mi compra
81,23-01-24,None,correos de chile - paquete no recibido
82,23-01-24,None,correos de chile - negligencia
83,23-01-24,no resuelto,correos de chile - no entrega de paquete ni respuesta de consultas
84,23-01-24,resuelto,correos de chile - mi pedido aparece que está listo para retiro pero en correos me dicen que aún no llega nada
85,22-01-24,no resuelto,correos de chile - deficiencia en el servicio
86,22-01-24,no resuelto,correos de chile - ingreso retenido en internacion
87,22-01-24,resuelto,correos de chile - ineficiencia
88,21-01-24,None,correos de chile - demora excesiva en la entrega y mala gestión en la entrega de información
89,20-01-24,None,correos de chile - no me entregan mis pedidos
90,20-01-24,None,correos de chile - paquetes no entregados
91,20-01-24,None,correos de chile - tiempo de entrega
92,20-01-24,no resuelto,correos de chile - paquete extraviado
93,19-01-24,no resuelto,correos de chile - no entregan envío.
94,18-01-24,no resuelto,correos de chile - demora en proceso de internación
95,18-01-24,no resuelto,correo de chile - me chocaron el vehículo
96,18-01-24,no resuelto,correos de chile - envío por usps desde el 2 de enero
97,17-01-24,no resuelto,correos de chile - correos de chile huepil cierra a las 14 hrs
98,17-01-24,resuelto,correos de chile - demora en proceso de internacion
99,17-01-24,resuelto,correos de chile - no entrega de pedido
100,17-01-24,no resuelto,correos de chile - demora en internacion
101,16-01-24,None,correos de chile - perdieron mi pedido
102,16-01-24,None,correos de chile - no entregan mi pedido
103,16-01-24,resuelto,correos de chile - demora en entrega de paquete
104,15-01-24,resuelto,correos de chile - lentituda en procesar encomienda
105,15-01-24,no resuelto,correos de chile - retraso entrega
106,14-01-24,no resuelto,correos de chile - mora en internacion
107,12-01-24,no resuelto,"correos de chile - paquete sin movimiento ""en tránsito"""
108,12-01-24,no resuelto,correos de chile - el paquete no llegó en la fecha programada
109,12-01-24,resuelto,correos de chile - mi pedido no llega por culpa de correos chile
110,11-01-24,no resuelto,"correos de chile - mi envio no llegó a destino, volvió y se perdió"
111,11-01-24,None,correos de chile - perfida de contenido de paquete
112,11-01-24,None,correos de chile - encomienda no recepcionada
113,10-01-24,no resuelto,correos de chile - no entrega de compra
114,10-01-24,None,"correos de chile - pedido estancado en ""arrived at linehaul office"""
115,10-01-24,resuelto,correos de chile - paquete no ha llegado a destinatario
116,09-01-24,None,correos de chile - no entregan el pedido
117,09-01-24,no resuelto,correos de chile - demora en internación
118,09-01-24,None,correos de chile - cobro documento fivps
119,09-01-24,None,correos de chile - atraso en entrega
120,08-01-24,None,correos de chile - robo paquete
121,08-01-24,no resuelto,"correos de chile - paquete no entregado, no vinieron a mi domicilio"
122,08-01-24,resuelto,correos de chile - mi envío aparece como entregado y no he recibido nada
123,08-01-24,None,correos de chile - retención de paquete y/o demora
124,07-01-24,no resuelto,correos de chile - siete paquetes en planta de destino sin entregar
125,06-01-24,no resuelto,correos de chile - envío estancado “en preparación”
126,05-01-24,None,correos de chile - pedido no recivido
127,05-01-24,None,correos de chile - encomienda no ha llegado
128,05-01-24,None,correos de chile - envio sin movimiento
129,04-01-24,None,correos de chile - pedidos en transito
130,04-01-24,no resuelto,correos de chile - estado de internación
131,04-01-24,None,corres de chile - demora en entrega sobre con documentos
132,03-01-24,resuelto,correos de chile - retraso en entrega
133,03-01-24,resuelto,correos de chile - paquete internacional en proceso de internacion por mas de 30 dias
134,03-01-24,None,correos de chile - pesimo servicio sin respuesta
135,02-01-24,no resuelto,correos de chile - compra esta retenida en aduana
136,02-01-24,no resuelto,correos de chile - paquete sin movimiento en país de origen
137,02-01-24,no resuelto,correos de chile - entrega de paquete
138,01-01-24,no resuelto,correos de chile - tarjetas de navidad aun no entregadas.
139,31-12-23,no resuelto,"correos de chile - infracción ley 19.496, negligencia en prestación de servicios, paquete internacional no ingresado a internaci"
140,30-12-23,no resuelto,correos de chile - mi paquete no ha sido entregado
141,29-12-23,no resuelto,correos de chile - envio en internacion durante 4 meses
142,29-12-23,None,correos de chile - demora en entrega
143,29-12-23,resuelto,correos de chile - paquete extraviado en aeropuerto de chile
144,29-12-23,no resuelto,correos de chile - arrived at linehual office
145,28-12-23,no resuelto,correos de chile - no entrega de compra internacional por aliexpress
146,28-12-23,None,correos de chile - demora entrega paquete
147,27-12-23,resuelto,correos de chile - no entrega de paquete en domicilio y falcificacion de motivo.
148,27-12-23,no resuelto,correos de chile - no entrega de paquete internacional
149,27-12-23,None,correos de chile - marcaron entregado un pedido que nunca llegó.
150,27-12-23,None,correos de chile - falsean información y no entregan los pedidos
151,26-12-23,None,correos de chile - mi paquete
152,26-12-23,no resuelto,correos de chile - paquete en aeropueto más de un mes
153,25-12-23,resuelto,correos de chile - paquete en aeropuerto hace mucho tiempo
154,25-12-23,no resuelto,correos de chile - paquete sin entregr
155,23-12-23,no resuelto,correos de chile - me retienen mis productos
156,23-12-23,no resuelto,correos de chile - mi paquete lleva 3 meses sin llegar
157,22-12-23,None,correos de chile - pedido en internación.
158,22-12-23,None,señores correos de chile - demora en entrega
159,21-12-23,no resuelto,correos de chile - no entregan encomienda y no dan respuestas
160,21-12-23,resuelto,correos de chile - envio no despachado en tiempo segun contrato
161,21-12-23,resuelto,correos de chile - encomienda perdida
162,21-12-23,no resuelto,correos de chile - demora en entrega de paquete
163,21-12-23,resuelto,correos de chile - pedido de temu
164,21-12-23,resuelto,señores correos chile - mi paquete fue detenido por falta de abjunte de informacion
165,20-12-23,None,correos de chile - 6 meses y medio en internación
